author,mappedGenes,traitName
Mez J,"RPS20P25,RPS19P6",Late-onset Alzheimer's disease
Mez J,TMEM94,Late-onset Alzheimer's disease
Mez J,PLCL1,Late-onset Alzheimer's disease
Mez J,GPR180,Late-onset Alzheimer's disease
Mez J,"HMG20A,LINGO1",Late-onset Alzheimer's disease
Mez J,LINC00624,Late-onset Alzheimer's disease
Mez J,"RPS20P25,RPS19P6",Late-onset Alzheimer's disease
Mez J,"BAALC,BAALC-AS1",Late-onset Alzheimer's disease
Mez J,"OR7E39P,CCZ1B",Late-onset Alzheimer's disease
Mez J,MCPH1-AS1,Late-onset Alzheimer's disease
Mez J,"GRIK2,R3HDM2P2",Late-onset Alzheimer's disease
Mez J,"Y_RNA,RNU6-1213P",Late-onset Alzheimer's disease
Mez J,"CDH7,PRPF19P1",Late-onset Alzheimer's disease
Mez J,"CPSF6,CPM",Late-onset Alzheimer's disease
Mez J,SCAPER,Late-onset Alzheimer's disease
Mez J,"CTNNA1P1,CCDC112",Late-onset Alzheimer's disease
Mez J,"MIR7702,RNY4P18",Late-onset Alzheimer's disease
Mez J,"SESTD1,RAD52P1",Late-onset Alzheimer's disease
Mez J,"ROBO2P1,CICP17",Late-onset Alzheimer's disease
Mez J,SEC24B-AS1,Late-onset Alzheimer's disease
Mez J,"CASP12,LINC02552",Late-onset Alzheimer's disease
Mez J,TENM4,Late-onset Alzheimer's disease
Mez J,TMCO4,Late-onset Alzheimer's disease
Mez J,"LINC02150,NACAP6",Late-onset Alzheimer's disease
Mez J,RASSF8,Late-onset Alzheimer's disease
Mez J,"DYSF,RPS20P10",Late-onset Alzheimer's disease
Mez J,"TXN,C9orf152",Late-onset Alzheimer's disease
Mez J,FAT3,Late-onset Alzheimer's disease
Mez J,"R3HDM2P2,GRIK2",Late-onset Alzheimer's disease
Mez J,"LINC02715,RDX",Late-onset Alzheimer's disease
Mez J,ABCA8,Late-onset Alzheimer's disease
Mez J,"KCTD9P6,RNA5SP261",Late-onset Alzheimer's disease
Mez J,STEAP3-AS1,Late-onset Alzheimer's disease
Mez J,NEK10,Late-onset Alzheimer's disease
Mez J,"PSMC6,ERO1A",Late-onset Alzheimer's disease
