author,traitName,mappedGenes
Mez J,Late-onset Alzheimer's disease,"RPS20P25,RPS19P6"
Mez J,Late-onset Alzheimer's disease,TMEM94
Mez J,Late-onset Alzheimer's disease,PLCL1
Mez J,Late-onset Alzheimer's disease,GPR180
Mez J,Late-onset Alzheimer's disease,"HMG20A,LINGO1"
Mez J,Late-onset Alzheimer's disease,LINC00624
Mez J,Late-onset Alzheimer's disease,"RPS20P25,RPS19P6"
Mez J,Late-onset Alzheimer's disease,"BAALC,BAALC-AS1"
Mez J,Late-onset Alzheimer's disease,"OR7E39P,CCZ1B"
Mez J,Late-onset Alzheimer's disease,MCPH1-AS1
Mez J,Late-onset Alzheimer's disease,"GRIK2,R3HDM2P2"
Mez J,Late-onset Alzheimer's disease,"Y_RNA,RNU6-1213P"
Mez J,Late-onset Alzheimer's disease,"CDH7,PRPF19P1"
Mez J,Late-onset Alzheimer's disease,"CPSF6,CPM"
Mez J,Late-onset Alzheimer's disease,SCAPER
Mez J,Late-onset Alzheimer's disease,"CTNNA1P1,CCDC112"
Mez J,Late-onset Alzheimer's disease,"MIR7702,RNY4P18"
Mez J,Late-onset Alzheimer's disease,"SESTD1,RAD52P1"
Mez J,Late-onset Alzheimer's disease,"ROBO2P1,CICP17"
Mez J,Late-onset Alzheimer's disease,SEC24B-AS1
Mez J,Late-onset Alzheimer's disease,"CASP12,LINC02552"
Mez J,Late-onset Alzheimer's disease,TENM4
Mez J,Late-onset Alzheimer's disease,TMCO4
Mez J,Late-onset Alzheimer's disease,"LINC02150,NACAP6"
Mez J,Late-onset Alzheimer's disease,RASSF8
Mez J,Late-onset Alzheimer's disease,"DYSF,RPS20P10"
Mez J,Late-onset Alzheimer's disease,"TXN,C9orf152"
Mez J,Late-onset Alzheimer's disease,FAT3
Mez J,Late-onset Alzheimer's disease,"R3HDM2P2,GRIK2"
Mez J,Late-onset Alzheimer's disease,"LINC02715,RDX"
Mez J,Late-onset Alzheimer's disease,ABCA8
Mez J,Late-onset Alzheimer's disease,"KCTD9P6,RNA5SP261"
Mez J,Late-onset Alzheimer's disease,STEAP3-AS1
Mez J,Late-onset Alzheimer's disease,NEK10
Mez J,Late-onset Alzheimer's disease,"PSMC6,ERO1A"
Mez J,Late-onset Alzheimer's disease,"SEM1,RNU7-188P"
Mez J,Late-onset Alzheimer's disease,"MIR4431,ASB3"
Mez J,Late-onset Alzheimer's disease,SEC24B
Mez J,Late-onset Alzheimer's disease,"STK31,RNA5SP228"
Mez J,Late-onset Alzheimer's disease,GTF2H3
Mez J,Late-onset Alzheimer's disease,"PTPRS,ZNRF4"
Mez J,Late-onset Alzheimer's disease,PPP1R3B-DT
Mez J,Late-onset Alzheimer's disease,RASSF5
Mez J,Late-onset Alzheimer's disease,COL25A1
Mez J,Late-onset Alzheimer's disease,"RAD23B,ZNF462"
Mez J,Late-onset Alzheimer's disease,HMCN1
Mez J,Late-onset Alzheimer's disease,SCAPER
Mez J,Late-onset Alzheimer's disease,"LINC02986,RPSAP47"
Mez J,Late-onset Alzheimer's disease,"LINC01479,LINC02421"
Mez J,Late-onset Alzheimer's disease,"LINC02063,LINC02114"
Mez J,Late-onset Alzheimer's disease,NAALADL2
Mez J,Late-onset Alzheimer's disease,DLC1
Mez J,Late-onset Alzheimer's disease,"HMGA2,HMGA2-AS1"
Mez J,Late-onset Alzheimer's disease,ANKRD22
Mez J,Late-onset Alzheimer's disease,ADGRL2
Mez J,Late-onset Alzheimer's disease,"LINC02151,RPL15P15"
Mez J,Late-onset Alzheimer's disease,LINC00970
Mez J,Late-onset Alzheimer's disease,"SEMA3A,RAD23BP2"
Mez J,Late-onset Alzheimer's disease,MECOM
Mez J,Late-onset Alzheimer's disease,PCSK6
Mez J,Late-onset Alzheimer's disease,"RN7SKP102,CNTNAP5-DT"
Mez J,Late-onset Alzheimer's disease,"NPEPPSP1,MRPL45"
Mez J,Late-onset Alzheimer's disease,AKR7A3
