gene1,gene2,interaction_type
LINC02836,ROBO1,regulation
LINC02836,ATXN7L1,coexpression
LINC02836,ZNF366,same_pathway
LINC02836,CENPE,regulation
LINC02836,MIR142HG,regulation
MTMR3,RIMS1,same_pathway
MIR1302-7,KMT5A,coexpression
MIR1302-7,INTS14,same_pathway
MIR1302-7,PTCHD4,regulation
MIR1302-7,MRC1,regulation
CDCP1,LINC01876,same_pathway
TRIP6,GATAD2A,coexpression
COL12A1,EPHB4,coexpression
COL12A1,SETD7,same_pathway
COL12A1,RPL21P47,coexpression
COL12A1,RN7SL643P,regulation
CCDC85B,RNU7-188P,same_pathway
CCDC85B,NOVA2,same_pathway
CCDC85B,FKBP8,regulation
CCDC85B,MIR4280HG,same_pathway
CCDC85B,SKOR2,regulation
CCDC85B,PVR,coexpression
CCDC85B,DHDDS-AS1,same_pathway
CCDC85B,NDUFA9,same_pathway
CCDC85B,RBMS3,regulation
CCDC85B,KPNA7,coexpression
CCDC85B,TMOD1,coexpression
CCDC85B,PDE4B,regulation
MED12L,RN7SKP141,coexpression
MED12L,MC3R,same_pathway
MED12L,CYYR1,same_pathway
TLN2,LAMP1,coexpression
TLN2,LINC00871,coexpression
TLN2,NCS1,same_pathway
TLN2,LINC01250,coexpression
TLN2,SRGAP3,same_pathway
TLN2,AICDA,regulation
TLN2,SRCIN1,regulation
TLN2,ADARB2,same_pathway
TLN2,ABCD2,regulation
TLN2,MRPL45,regulation
TLN2,SCARB1,regulation
TLN2,LINC01036,same_pathway
TLN2,MAP3K20,regulation
TLN2,RNA5SP279,same_pathway
TLN2,BICD1-AS1,regulation
SMARCC1,SMILR,same_pathway
SMARCC1,LINC01994,regulation
SMARCC1,RPSAP72,regulation
SMARCC1,RNU6-1307P,same_pathway
SMARCC1,STEAP3-AS1,same_pathway
ZNF594-DT,PCDHA3,same_pathway
GNPNAT1,LINC01121,coexpression
GNPNAT1,KCNE2,regulation
GNPNAT1,KCNN2,coexpression
GNPNAT1,SERINC5,same_pathway
PLAUR,ZNF180,same_pathway
CNGB1,LINC00423,regulation
CNGB1,ZBED5-AS1,same_pathway
CNGB1,CHID1,coexpression
CNGB1,SOBP,regulation
CNGB1,NACAP6,regulation
CNGB1,APOC2,coexpression
CNGB1,MAPRE1P2,regulation
CNGB1,ACTR3C,same_pathway
CNGB1,SFT2D2,same_pathway
RNU6-976P,RPLP0P5,same_pathway
RNU6-976P,LINC01179,regulation
RNU6-976P,LINC01479,regulation
RNU6-976P,ACMSD,same_pathway
TNRC6A,NKPD1,regulation
TNRC6A,IL34,regulation
TNRC6A,SAMMSON,regulation
TNRC6A,CATSPERB,regulation
TNRC6A,MADD,same_pathway
APOC4,RHOA,regulation
SAMD5,JCAD,regulation
LINC02406,CD300LG,same_pathway
LINC02406,UNC13A,coexpression
YWHAQ,TERC,regulation
YWHAQ,LINC00423,coexpression
YWHAQ,MTSS2,same_pathway
YWHAQ,MTMR2,regulation
CUL2,MIR7702,regulation
CUL2,ADAM18,same_pathway
CUL2,LIPC,regulation
CUL2,TST,regulation
CUL2,RPS6KA2,same_pathway
ACTR3C,DNAH6,regulation
NCK2,ATXN7L1,coexpression
NCK2,MTND3P4,coexpression
NCK2,RELB,regulation
NCK2,NKAIN3,coexpression
NCK2,FAM95A,regulation
NCK2,SMIM45,coexpression
NCK2,RNU2-36P,regulation
VN1R9P,SEMA3C,same_pathway
VN1R9P,ATP5F1C,same_pathway
VN1R9P,FAM95A,regulation
VN1R9P,ANKH,same_pathway
PCSEAT,RPL13AP7,regulation
MIR4527HG,AKAP10,coexpression
MIR4527HG,ABCG8,same_pathway
MIR4527HG,LY75,same_pathway
MIR4527HG,MUPP,regulation
MIR4527HG,STAG3L4,same_pathway
AFF3,ULK4,same_pathway
AFF3,RPSAP47,regulation
AFF3,WDR12,coexpression
AFF3,PRRC2C,regulation
FRAS1,R3HDM2P2,same_pathway
FRAS1,H3C9P,coexpression
FRAS1,DOC2A,coexpression
FRAS1,SNRPEP5,coexpression
LINC02375,LINC01648,coexpression
LINC02375,KIFC3,regulation
MAP4K4,LRAT,regulation
MAP4K4,EN2-DT,coexpression
MAP4K4,LINC01539,coexpression
MAP4K4,HDAC9,regulation
MAP4K4,DCBLD1,regulation
HMGA2,NOVA2,coexpression
HMGA2,NALF1,same_pathway
HMGA2,DENND3,same_pathway
HMGA2,CUX2,coexpression
HMGA2,LMX1A-AS1,coexpression
HMGA2,IGHV3-64,coexpression
HMGA2,FAM157C,coexpression
MIR1202,UGT1A8,regulation
FOXN2,RNU7-65P,regulation
FOXN2,ACMSD,same_pathway
FOXN2,USP50,same_pathway
FOXN2,MC3R,regulation
FOXN2,GDAP1L1,same_pathway
CARM1P1,RNU6-408P,same_pathway
PDZD2,TRAIP,coexpression
PDZD2,CDC42SE2,coexpression
PDZD2,ZNF222,same_pathway
PDZD2,FRMD5,regulation
PDZD2,LILRA5,same_pathway
GABRA2,KMT5A,same_pathway
MICALL2,TSHZ2,same_pathway
TSPOAP1-AS1,RNA5SP63,coexpression
TSPOAP1-AS1,TFDP1P1,regulation
TSPOAP1-AS1,LINC02325,same_pathway
ECHDC3,LINC02016,same_pathway
ECHDC3,TBX3-AS1,coexpression
ECHDC3,EIF4G3,coexpression
ECHDC3,RNA5SP281,coexpression
ECHDC3,SIK1,coexpression
THSD7A,NOP56P1,coexpression
PDCD1LG2,CFAP20DC,coexpression
PDCD1LG2,FAM181A,coexpression
PDCD1LG2,FAM193B-DT,coexpression
PDCD1LG2,BDP1P,same_pathway
PDCD1LG2,RPS2P1,coexpression
PDCD1LG2,PPP1R42,same_pathway
PDCD1LG2,EN2-DT,coexpression
PDCD1LG2,DHDDS,same_pathway
PDCD1LG2,GIGYF1,regulation
PDCD1LG2,SEMA3A,same_pathway
PDCD1LG2,LMOD3,same_pathway
PDCD1LG2,MSH2,regulation
RNU4-42P,TCF7L2,same_pathway
RNU4-42P,SLC66A2P1,same_pathway
RNU4-42P,LINC02360,coexpression
LINGO1,RNU7-65P,coexpression
LINGO1,ZNF594-DT,same_pathway
LINGO1,LINC02008,regulation
APLNR,RPL7L1P20,regulation
RNF38,PTK2B,regulation
RNF38,ERN1,same_pathway
RNF38,HSP90AA4P,same_pathway
RNF38,ZNF689,same_pathway
RN7SL423P,RAC1P2,same_pathway
RN7SL423P,LINC02253,same_pathway
RN7SL423P,APOE,same_pathway
RN7SL423P,SLC4A1AP,regulation
MS4A3,NMNAT1P2,coexpression
MS4A3,PDE7B,same_pathway
MS4A3,RPL7P6,regulation
MS4A3,DDAH1,coexpression
MS4A3,LINC01016,same_pathway
LUZP2,NFAT5,regulation
LUZP2,SLC19A4P,same_pathway
TSKU,LINC02623,regulation
TSKU,HLA-C,regulation
TSKU,IKZF4,coexpression
TSKU,CPM,regulation
TSKU,LINC02133,same_pathway
CD34,CALCRL-AS1,coexpression
CD34,LINC00052,regulation
TGM6,RPH3A,coexpression
TGM6,RNU4-77P,same_pathway
TGM6,RPS26P8,coexpression
TGM6,RAB31,same_pathway
TGM6,CYCSP30,same_pathway
TREM2,RNU6-456P,coexpression
TREM2,OTOGL,same_pathway
TREM2,RAPSN,same_pathway
